Formatted Date,Temperature (C),Humidity,Wind Speed (km/h),Pressure (millibars),Six-hour ahead Temprature ©
12/09/2016,29.28,0.4,9.37,1017.15,21.91
12/09/2016,26.25,0.48,10.61,1017.61,21.28
12/09/2016,24.83,0.52,7.74,1017.9,19.17
12/09/2016,23.42,0.59,11.27,1017.71,18.63
12/09/2016,22.53,0.6,2.9,1018.14,17.17
12/09/2016,21.92,0.66,3.22,1018.05,16.58
12/09/2016,21.91,0.66,9.19,1018.17,16.16
13/09/2016,21.28,0.67,0,1017.78,15.07
13/09/2016,19.17,0.72,3.17,1017.77,17.07
13/09/2016,18.63,0.79,2.61,1017.82,19.49
13/09/2016,17.17,0.86,5.47,1017.77,22.13
13/09/2016,16.58,0.85,0,1017.65,24.96
13/09/2016,16.16,0.88,2.14,1017.64,26.93
13/09/2016,15.07,0.88,0.13,1017.55,28.79
13/09/2016,17.07,0.93,1.29,1017.73,29.91
13/09/2016,19.49,0.81,2.88,1017.74,29.78
13/09/2016,22.13,0.73,4.27,1017.83,22.68
13/09/2016,24.96,0.59,3.09,1017.83,21.33
13/09/2016,26.93,0.49,3.96,1017.5,18.56
13/09/2016,28.79,0.44,3.09,1017.04,19.1
13/09/2016,29.91,0.36,7.71,1016.45,17.89
13/09/2016,29.78,0.37,4.77,1015.61,17.78
13/09/2016,22.68,0.71,27.24,1015.8,17.19
13/09/2016,21.33,0.8,16.47,1016.12,16.11
13/09/2016,18.56,0.88,18.77,1016.96,15.21
13/09/2016,19.1,0.83,13.86,1015.96,15.48
13/09/2016,17.89,0.9,4.67,1015.73,14.49
13/09/2016,17.78,0.91,9.66,1016.75,14.66
13/09/2016,17.19,0.88,4.59,1016.78,14.42
13/09/2016,16.11,0.93,3.22,1016.41,13.89
13/09/2016,15.21,0.96,3.03,1016.53,13.14
14/09/2016,15.48,0.96,3.22,1016.34,13.82
14/09/2016,14.49,0.96,2.93,1016.14,13.87
14/09/2016,14.66,0.96,2.69,1016.04,15.32
14/09/2016,14.42,0.96,6.44,1015.76,18.82
14/09/2016,13.89,0.96,3.17,1015.46,21.16
14/09/2016,13.14,0.99,3.2,1015.33,23.74
14/09/2016,13.82,0.94,4.83,1015.44,26.02
14/09/2016,13.87,0.94,3.2,1015.64,26.14
14/09/2016,15.32,0.99,0.21,1015.7,27.03
14/09/2016,18.82,0.9,1.88,1015.74,27.15
14/09/2016,21.16,0.78,3.08,1015.82,27.15
14/09/2016,23.74,0.66,1.32,1015.67,27.06
14/09/2016,26.02,0.54,4.51,1015.52,25.99
14/09/2016,26.14,0.5,7.15,1015.23,22.66
14/09/2016,27.03,0.46,3.22,1014.95,20.94
14/09/2016,27.15,0.47,4.83,1014.52,18.79
14/09/2016,27.15,0.42,4.33,1014.13,18.22
14/09/2016,27.06,0.44,3.38,1013.76,17.64
14/09/2016,25.99,0.51,8,1013.83,16.58
14/09/2016,22.66,0.63,4.75,1014.23,15.99
14/09/2016,20.94,0.74,2.91,1014.78,15.53
14/09/2016,18.79,0.85,1.61,1015.14,15.05
14/09/2016,18.22,0.82,0,1015.34,14.45
14/09/2016,17.64,0.88,5.96,1015.67,14.01
15/09/2016,16.58,0.88,0,1016.03,13.82
15/09/2016,15.99,0.94,0,1015.93,14.87
15/09/2016,15.53,0.94,3.22,1015.79,18.52
15/09/2016,15.05,0.96,0.66,1015.65,22.02
15/09/2016,14.45,0.93,3.03,1015.63,24.84
15/09/2016,14.01,0.96,5.83,1015.64,25.92
15/09/2016,13.82,0.93,3.22,1015.55,27.15
15/09/2016,14.87,0.93,0.14,1016.23,27.24
15/09/2016,18.52,0.91,2.75,1016.64,27.78
15/09/2016,22.02,0.73,3.09,1016.75,27.84
15/09/2016,24.84,0.62,7.34,1016.93,28.86
15/09/2016,25.92,0.51,7.12,1017.06,28.02
15/09/2016,27.15,0.48,9.32,1016.92,26.16
15/09/2016,27.24,0.47,1.59,1016.91,22.71
15/09/2016,27.78,0.42,2.32,1016.52,20.1
15/09/2016,27.84,0.41,10.9,1016.11,18.77
15/09/2016,28.86,0.37,10.92,1015.91,18.73
15/09/2016,28.02,0.37,7.5,1015.64,17.76
15/09/2016,26.16,0.47,4.46,1015.4,17.11
15/09/2016,22.71,0.66,4.83,1015.71,16.51
15/09/2016,20.1,0.74,4.65,1016.05,16.95
15/09/2016,18.77,0.84,0,1016.43,15.47
15/09/2016,18.73,0.82,3.22,1016.63,15.42
15/09/2016,17.76,0.85,3.2,1016.84,14.98
16/09/2016,17.11,0.9,0,1016.72,14.91
16/09/2016,16.51,0.9,6.15,1016.52,15.97
16/09/2016,16.95,0.89,5.89,1016.67,18.7
16/09/2016,15.47,0.93,3.22,1016.73,22.16
16/09/2016,15.42,0.96,3.22,1016.63,24.98
16/09/2016,14.98,0.96,2.66,1016.58,27.06
16/09/2016,14.91,1,7.6,1016.51,28.87
16/09/2016,15.97,0.93,4.64,1016.5,28.89
16/09/2016,18.7,0.85,7.26,1016.46,28.87
16/09/2016,22.16,0.69,7.74,1016.22,29.93
16/09/2016,24.98,0.58,9.32,1016.31,29.91
16/09/2016,27.06,0.47,11.61,1016.09,28.83
16/09/2016,28.87,0.43,12.38,1015.98,27.78
16/09/2016,28.89,0.4,14.15,1015.39,23.96
16/09/2016,28.87,0.39,12.08,1014.78,22.79
16/09/2016,29.93,0.36,14.25,1014.29,21.97
16/09/2016,29.91,0.35,15.49,1013.79,19.38
16/09/2016,28.83,0.37,11.9,1013.44,18.44
16/09/2016,27.78,0.44,7.86,1013,18.82
16/09/2016,23.96,0.62,4.62,1012.7,18.82
16/09/2016,22.79,0.66,8.77,1012.96,18.73
16/09/2016,21.97,0.66,4.75,1012.83,18.75
16/09/2016,19.38,0.78,3.22,1012.82,17.71
16/09/2016,18.44,0.81,3.38,1012.97,17.67
17/09/2016,18.82,0.85,6.44,1012.8,17.78
17/09/2016,18.82,0.81,6.3,1012.21,17.85
17/09/2016,18.73,0.83,9.89,1011.79,17.74
17/09/2016,18.75,0.76,6.15,1010.92,19.91
17/09/2016,17.71,0.79,6.17,1010.71,22.66
17/09/2016,17.67,0.81,6.26,1010.53,25.79
17/09/2016,17.78,0.79,12.65,1010.28,27.43
17/09/2016,17.85,0.78,12.4,1010.21,28.47
17/09/2016,17.74,0.86,10.58,1010.42,28.34
17/09/2016,19.91,0.79,10.32,1009.93,27.52
17/09/2016,22.66,0.67,8.9,1009.84,25.09
17/09/2016,25.79,0.59,6.87,1009.89,24.11
17/09/2016,27.43,0.45,9.18,1009.55,24.03
17/09/2016,28.47,0.4,10.03,1009.38,22.15
17/09/2016,28.34,0.4,10.61,1009.2,20.12
17/09/2016,27.52,0.48,29.45,1008.8,18.75
17/09/2016,25.09,0.54,19.34,1009.71,18.18
17/09/2016,24.11,0.59,4.19,1009.92,17.72
17/09/2016,24.03,0.58,7.45,1009.81,15.51
17/09/2016,22.15,0.65,2.91,1010.02,16.48
17/09/2016,20.12,0.73,6.63,1010.46,16.56
17/09/2016,18.75,0.84,11.11,1011.04,14.84
17/09/2016,18.18,0.82,6.2,1011.16,14.77
17/09/2016,17.72,0.85,4.03,1011.79,14.87
18/09/2016,15.51,0.88,3.35,1011.76,14.26
18/09/2016,16.48,0.88,3.08,1012.14,13.71
18/09/2016,16.56,0.86,3.36,1012.24,16.02
18/09/2016,14.84,0.93,11.27,1012.05,20.77
18/09/2016,14.77,0.93,6.49,1012.15,21.9
18/09/2016,14.87,0.93,3.72,1012.1,23.49
18/09/2016,14.26,0.93,6.15,1011.95,23.82
18/09/2016,13.71,0.93,1.61,1012.25,24.93
18/09/2016,16.02,0.88,4.89,1012.51,25.9
18/09/2016,20.77,0.64,1.67,1012.05,25.84
18/09/2016,21.9,0.56,9.35,1012.17,24.95
18/09/2016,23.49,0.55,6.94,1011.99,24.77
18/09/2016,23.82,0.49,8.82,1011.64,23.75
18/09/2016,24.93,0.45,8.89,1011.53,21.96
18/09/2016,25.9,0.4,10.35,1011.14,21.74
18/09/2016,25.84,0.4,10.19,1010.76,20.81
18/09/2016,24.95,0.45,2.9,1010.24,20.23
18/09/2016,24.77,0.43,8.36,1009.81,20.18
18/09/2016,23.75,0.49,4.83,1009.45,19.83
18/09/2016,21.96,0.56,8.05,1009.38,18.82
18/09/2016,21.74,0.6,7.45,1009.44,17.64
18/09/2016,20.81,0.61,9.11,1009.65,17.11
18/09/2016,20.23,0.63,10.8,1009.56,17.08
18/09/2016,20.18,0.63,10.42,1009.43,16.65
19/09/2016,19.83,0.64,12.19,1009.15,16.02
19/09/2016,18.82,0.75,6.05,1009.05,16.06
19/09/2016,17.64,0.84,5.8,1008.55,16.06
19/09/2016,17.11,0.9,3.2,1008.16,16.18
19/09/2016,17.08,0.9,3.32,1007.67,17.27
19/09/2016,16.65,0.92,6.57,1007.6,17.61
19/09/2016,16.02,0.93,10.84,1006.89,17.32
19/09/2016,16.06,0.93,9.21,1006.48,17.83
19/09/2016,16.06,0.93,9.03,1006.4,18.54
19/09/2016,16.18,0.93,10.22,1006.36,18.8
19/09/2016,17.27,0.92,10.67,1006.36,18.8
19/09/2016,17.61,0.91,9.79,1006.64,17.26
19/09/2016,17.32,0.92,5.09,1006.55,17.69
19/09/2016,17.83,0.96,10.3,1006.27,17.69
19/09/2016,18.54,0.92,7.71,1006.03,17.11
19/09/2016,18.8,0.85,9.55,1005.57,17.08
19/09/2016,18.8,0.9,11.01,1005.29,16.55
19/09/2016,17.26,0.94,8.34,1005.27,16.48
19/09/2016,17.69,0.97,11.16,1004.8,16.04
19/09/2016,17.69,0.97,12.17,1004.99,16.04
19/09/2016,17.11,0.94,9.24,1005.26,15.41
19/09/2016,17.08,0.93,14.07,1005.43,14.42
19/09/2016,16.55,0.97,13.8,1005.54,14.42
19/09/2016,16.48,0.94,16.31,1005.72,14.36
20/09/2016,16.04,0.93,17.18,1006.02,13.84
20/09/2016,16.04,0.93,16.92,1006.13,13.82
20/09/2016,15.41,0.94,16.92,1006.41,13.93
20/09/2016,14.42,0.96,16.84,1006.53,16.04
20/09/2016,14.42,0.93,16.84,1006.73,17.2
20/09/2016,14.36,0.91,16.84,1007.15,17.28
20/09/2016,13.84,0.9,16.97,1007.35,18.82
20/09/2016,13.82,0.9,16.97,1007.94,18.87
20/09/2016,13.93,0.84,20.53,1008.52,18.99
20/09/2016,16.04,0.72,26.29,1008.74,18.98
20/09/2016,17.2,0.63,25.12,1009.32,18.84
20/09/2016,17.28,0.7,24.17,1010.12,18.77
20/09/2016,18.82,0.67,21.96,1010.3,17.76
20/09/2016,18.87,0.56,21.83,1010.49,17.13
20/09/2016,18.99,0.59,21.99,1010.66,16.87
20/09/2016,18.98,0.56,20.04,1010.88,15.86
20/09/2016,18.84,0.56,15.99,1010.99,14.77
20/09/2016,18.77,0.53,14.86,1011.44,12.81
20/09/2016,17.76,0.61,10.63,1011.97,12.69
20/09/2016,17.13,0.71,13.48,1012.57,12.55
20/09/2016,16.87,0.72,8.65,1013.33,12.41
20/09/2016,15.86,0.57,15.44,1014,12.25
20/09/2016,14.77,0.64,10.61,1014.77,12.09
20/09/2016,12.81,0.66,10.77,1015.32,11.92
21/09/2016,12.69,0.67,10.47,1015.41,11.74
21/09/2016,12.55,0.67,10.08,1015.51,11.56
21/09/2016,12.41,0.68,9.64,1015.63,11.37
21/09/2016,12.25,0.69,9.16,1015.75,11.18
21/09/2016,12.09,0.69,8.61,1015.89,10.99
21/09/2016,11.92,0.7,8.03,1016.03,10.81
21/09/2016,11.74,0.71,7.41,1016.19,10.62
21/09/2016,11.56,0.72,6.76,1016.35,10.44
21/09/2016,11.37,0.73,6.09,1016.51,10.26
21/09/2016,11.18,0.74,5.39,1016.68,10.08
21/09/2016,10.99,0.75,4.69,1016.85,9.92
21/09/2016,10.81,0.76,3.98,1017.03,9.76
21/09/2016,10.62,0.77,3.27,1017.2,9.61
21/09/2016,10.44,0.78,2.56,1017.37,9.47
21/09/2016,10.26,0.79,1.88,1017.54,9.35
21/09/2016,10.08,0.8,1.24,1017.71,9.23
21/09/2016,9.92,0.81,0.69,1017.87,9.14
21/09/2016,9.76,0.81,0.55,1018.02,9.06
21/09/2016,9.61,0.82,0.93,1018.17,8.99
21/09/2016,9.47,0.83,1.43,1018.31,10.03
21/09/2016,9.35,0.84,1.93,1018.44,10.52
21/09/2016,9.23,0.84,2.38,1018.56,10.49
21/09/2016,9.14,0.85,2.8,1018.67,11.02
21/09/2016,9.06,0.85,3.14,1018.76,11.02
22/09/2016,8.99,0.86,3.43,1018.84,11.04
22/09/2016,10.03,0.83,6.34,1018.83,9.97
22/09/2016,10.52,0.84,5.83,1018.72,11.01
22/09/2016,10.49,0.84,3.08,1018.55,12.76
22/09/2016,11.02,0.84,2.74,1018.46,14.98
22/09/2016,11.02,0.84,4.52,1018.67,14.94
22/09/2016,11.04,0.86,7.58,1018.58,15.62
22/09/2016,9.97,0.93,7.58,1018.98,17.24
22/09/2016,11.01,0.93,4.54,1019.56,17.73
22/09/2016,12.76,0.83,2.16,1020.06,17.71
22/09/2016,14.98,0.78,9.26,1020.66,17.81
22/09/2016,14.94,0.68,10.98,1021.07,17.74
22/09/2016,15.62,0.61,13.59,1021.15,17.15
22/09/2016,17.24,0.52,10.79,1021.35,12.8
22/09/2016,17.73,0.49,8.21,1021.36,11.12
22/09/2016,17.71,0.46,9.42,1020.97,9.93
22/09/2016,17.81,0.43,9.43,1021.06,9.33
22/09/2016,17.74,0.43,10.09,1021.3,9.14
22/09/2016,17.15,0.48,3.53,1021.64,8.2
22/09/2016,12.8,0.72,7.97,1021.95,8.18
22/09/2016,11.12,0.78,4.46,1022.55,7.73
22/09/2016,9.93,0.83,8.05,1022.95,7.11
22/09/2016,9.33,0.89,6.44,1023.34,6.53
22/09/2016,9.14,0.87,5.92,1023.7,7.54
23/09/2016,8.2,0.89,3.08,1023.74,5.96
23/09/2016,8.18,0.89,8.05,1023.84,7
23/09/2016,7.73,0.93,2.77,1023.91,9.71
23/09/2016,7.11,0.93,3.08,1023.95,12.72
23/09/2016,6.53,0.93,3.22,1024.14,17.11
23/09/2016,7.54,0.88,3.08,1024.14,17.83
23/09/2016,5.96,0.93,3.22,1024.35,18.91
23/09/2016,7,0.93,1.87,1024.73,20.02
23/09/2016,9.71,0.88,3.28,1025.01,19.94
23/09/2016,12.72,0.73,3.4,1025.05,20.04
23/09/2016,17.11,0.58,7.97,1025.52,20.04
23/09/2016,17.83,0.54,7.86,1025.75,19.94
23/09/2016,18.91,0.43,10.58,1025.42,18.84
23/09/2016,20.02,0.44,10.72,1025.52,13.88
23/09/2016,19.94,0.35,7.08,1025.36,12.11
23/09/2016,20.04,0.37,11.91,1025.13,10.97
23/09/2016,20.04,0.37,9.32,1025.12,10.44
23/09/2016,19.94,0.39,9.87,1025.07,10.28
23/09/2016,18.84,0.43,4.75,1025.22,8.31
23/09/2016,13.88,0.72,3.22,1025.63,7.76
23/09/2016,12.11,0.8,1.63,1026.21,7.4
23/09/2016,10.97,0.81,0,1026.32,6.64
23/09/2016,10.44,0.86,3.22,1026.43,6.6
23/09/2016,10.28,0.87,3.22,1026.77,6.67
24/09/2016,8.31,0.93,0,1026.82,7.59
24/09/2016,7.76,0.96,0,1026.82,8.64
24/09/2016,7.4,0.96,3.22,1026.87,10.63
24/09/2016,6.64,0.96,3.22,1026.91,14.87
24/09/2016,6.6,0.96,0,1026.82,17.24
24/09/2016,6.67,0.96,2.77,1026.96,18.93
24/09/2016,7.59,1,4.83,1026.93,21.09
24/09/2016,8.64,0.93,1.61,1027.04,22.2
24/09/2016,10.63,0.87,2.93,1027.46,21.14
24/09/2016,14.87,0.73,3.22,1027.42,21.23
24/09/2016,17.24,0.58,2.96,1027.42,21.18
24/09/2016,18.93,0.54,4.46,1027.35,21.04
24/09/2016,21.09,0.46,7.52,1027.02,19.93
24/09/2016,22.2,0.35,5.22,1026.72,16.11
24/09/2016,21.14,0.4,7.87,1026.27,14.91
24/09/2016,21.23,0.41,4.97,1025.41,13.79
24/09/2016,21.18,0.42,3.32,1024.72,14.17
24/09/2016,21.04,0.38,6.42,1024.8,13.69
24/09/2016,19.93,0.53,0.37,1024.61,12.53
24/09/2016,16.11,0.71,0,1024.62,11.42
24/09/2016,14.91,0.77,2.66,1024.81,10.46
24/09/2016,13.79,0.83,3.03,1024.65,9.31
24/09/2016,14.17,0.84,2.96,1024.64,9.26
24/09/2016,13.69,0.84,3.51,1024.58,8.8
25/09/2016,12.53,0.86,3.22,1024.15,7.78
25/09/2016,11.42,0.9,3.22,1023.66,8.84
25/09/2016,10.46,0.93,3.22,1023.6,10.97
25/09/2016,9.31,0.93,3.22,1023.37,12.81
25/09/2016,9.26,0.96,6.3,1023.17,15.09
25/09/2016,8.8,0.96,5.97,1023.07,17.8
25/09/2016,7.78,0.96,4.62,1023.71,18.96
25/09/2016,8.84,1,4.54,1022.88,18.98
25/09/2016,10.97,0.87,6.67,1022.93,20.09
25/09/2016,12.81,0.83,4.62,1023.05,19.99
25/09/2016,15.09,0.72,7.76,1023.05,19.99
25/09/2016,17.8,0.56,10.85,1022.74,18.98
25/09/2016,18.96,0.52,10.77,1022.23,17.82
25/09/2016,18.98,0.48,10.75,1021.64,15.94
25/09/2016,20.09,0.45,10.45,1021,13.94
25/09/2016,19.99,0.49,12.12,1020.44,13.61
25/09/2016,19.99,0.49,10.64,1020.13,13.06
25/09/2016,18.98,0.51,10.45,1019.85,12.95
25/09/2016,17.82,0.6,9.34,1019.94,11.09
25/09/2016,15.94,0.72,9.32,1020.04,10.01
25/09/2016,13.94,0.77,4.88,1020.46,9.58
25/09/2016,13.61,0.78,7.97,1020.66,8.43
25/09/2016,13.06,0.78,6.02,1020.76,8.29
25/09/2016,12.95,0.81,5.97,1020.8,7.94
26/09/2016,11.09,0.86,6.47,1020.96,8.79
26/09/2016,10.01,0.86,6.21,1020.95,7.81
26/09/2016,9.58,0.86,6.2,1020.92,10.74
26/09/2016,8.43,0.93,6.42,1020.95,12.78
26/09/2016,8.29,0.9,6.47,1020.67,15.09
26/09/2016,7.94,0.93,6.73,1020.82,17.25
26/09/2016,8.79,0.89,11.11,1020.87,18.91
26/09/2016,7.81,0.96,4.89,1021.08,19.98
26/09/2016,10.74,0.83,7.78,1021.75,20.96
26/09/2016,12.78,0.77,7.97,1021.94,21.06
26/09/2016,15.09,0.71,10.5,1022.05,21.04
26/09/2016,17.25,0.56,9.16,1022.06,19.92
26/09/2016,18.91,0.47,12.35,1021.85,18.86
26/09/2016,19.98,0.44,10.75,1021.65,16.96
26/09/2016,20.96,0.37,10.59,1021.53,14.72
26/09/2016,21.06,0.3,7.89,1021.06,13.58
26/09/2016,21.04,0.31,9.31,1021.25,12.98
26/09/2016,19.92,0.36,7.99,1021.36,12.48
26/09/2016,18.86,0.43,7.65,1021.64,10.25
26/09/2016,16.96,0.55,4.73,1021.95,9.77
26/09/2016,14.72,0.64,3.19,1022.31,8.84
26/09/2016,13.58,0.68,4.52,1022.75,7.8
26/09/2016,12.98,0.73,3.17,1023.07,6.85
26/09/2016,12.48,0.75,5.76,1023.26,7.06
27/09/2016,10.25,0.84,0.14,1023.26,6.18
27/09/2016,9.77,0.86,3.2,1023.55,6.18
27/09/2016,8.84,0.89,2.91,1023.81,7.61
27/09/2016,7.8,0.89,3.12,1023.66,9.19
27/09/2016,6.85,0.92,6.15,1023.65,14.12
27/09/2016,7.06,0.9,3.14,1023.92,17.85
27/09/2016,6.18,0.93,3.08,1023.85,18.98
27/09/2016,6.18,0.93,4.56,1024.34,21.06
27/09/2016,7.61,0.93,1.21,1024.74,21.98
27/09/2016,9.19,0.88,3.4,1024.84,22.13
27/09/2016,14.12,0.75,0.35,1025.42,21.13
27/09/2016,17.85,0.54,4.27,1025.42,21.83
27/09/2016,18.98,0.48,3.33,1025.61,19.88
27/09/2016,21.06,0.38,4.81,1025.44,13.91
27/09/2016,21.98,0.36,6.23,1025.35,13.14
27/09/2016,22.13,0.3,4.96,1025.22,12.02
27/09/2016,21.13,0.31,4.36,1025.23,9.88
27/09/2016,21.83,0.29,0.98,1025.19,9.43
27/09/2016,19.88,0.41,0.35,1025.53,8.75
27/09/2016,13.91,0.67,0,1026.33,8.19
27/09/2016,13.14,0.67,3.04,1026.83,8.26
27/09/2016,12.02,0.75,3.08,1027.43,6.62
27/09/2016,9.88,0.84,1.53,1027.75,6.63
27/09/2016,9.43,0.87,3.01,1028.18,6.67
28/09/2016,8.75,0.86,0,1028.25,6.02
28/09/2016,8.19,0.89,0,1028.43,6.05
28/09/2016,8.26,0.93,2.14,1028.71,11.64
28/09/2016,6.62,0.96,0.35,1028.64,14.92
28/09/2016,6.63,0.93,3.17,1028.64,18.87
28/09/2016,6.67,0.93,3.12,1028.73,21
28/09/2016,6.02,0.93,0,1028.92,22.2
28/09/2016,6.05,0.93,0,1029.12,22.76
28/09/2016,11.64,0.76,2.88,1029.48,22.77
28/09/2016,14.92,0.63,0.35,1029.42,22.8
28/09/2016,18.87,0.52,3.28,1029.49,22.27
28/09/2016,21,0.39,7.21,1029.26,22.19
28/09/2016,22.2,0.33,9.31,1029.31,20
28/09/2016,22.76,0.32,9.69,1028.99,17.69
28/09/2016,22.77,0.32,10.03,1028.06,16.04
28/09/2016,22.8,0.32,10.92,1027.69,13.85
28/09/2016,22.27,0.33,12.62,1026.83,15.33
28/09/2016,22.19,0.33,9.85,1027.03,14.28
28/09/2016,20,0.4,7.84,1027,11.72
28/09/2016,17.69,0.5,9,1027.2,11.1
28/09/2016,16.04,0.57,8.53,1027.61,9.97
28/09/2016,13.85,0.67,4.96,1027.69,9.99
28/09/2016,15.33,0.61,11.13,1027.51,9.46
28/09/2016,14.28,0.65,10.06,1027.57,10.68
29/09/2016,11.72,0.77,3.53,1027.51,8.94
29/09/2016,11.1,0.8,6.42,1027.32,8.94
29/09/2016,9.97,0.84,3.36,1027.37,12.5
29/09/2016,9.99,0.83,3.3,1027.1,16.03
29/09/2016,9.46,0.89,3.36,1026.8,19.86
29/09/2016,10.68,0.84,5.72,1026.8,21.88
29/09/2016,8.94,0.92,9.35,1026.3,22.8
29/09/2016,8.94,0.92,4.62,1026.02,23.96
29/09/2016,12.5,0.79,7.44,1026.2,24.92
29/09/2016,16.03,0.67,9.24,1025.81,24.97
29/09/2016,19.86,0.54,10.8,1026.2,25.04
29/09/2016,21.88,0.49,8.73,1025.45,24.83
29/09/2016,22.8,0.51,8.53,1024.8,22.22
29/09/2016,23.96,0.41,13.01,1024.29,18.87
29/09/2016,24.92,0.38,13.25,1023.84,17.14
29/09/2016,24.97,0.39,13.8,1022.99,14.93
29/09/2016,25.04,0.39,14.09,1022.3,15.42
29/09/2016,24.83,0.38,12.04,1022.06,14.18
29/09/2016,22.22,0.49,9.34,1021.79,13.14
29/09/2016,18.87,0.61,9.32,1021.87,12.02
29/09/2016,17.14,0.67,7.65,1021.94,9.88
29/09/2016,14.93,0.78,8.05,1021.79,9.43
29/09/2016,15.42,0.73,6.28,1021.69,8.75
29/09/2016,14.18,0.79,5.51,1021.64,8.19
